Cand_Name,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Coverage_End_Date,Cand_Street_1,Cand_Street_2,Cand_City,Cand_State,Cand_Zip,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date
"FINZER, RYLAN ZACHARY",DEM,OPEN,8385.01,8028.88,381.13,0,04/03/2024,25400 ROCKSIDE RD.,APT 124A,BEDFORD HEIGHTS,OH,44146,6862.01,973,7835.01,0,50,500,8385.01,0,0,0,0,0,0,0,0,7330.88,0,0,0,0,0,0,0,0,0,0,698,8385.01,7330.88,25,0,01/01/2024
"BENTLEY, THOMAS A",REP,CHALLENGER,0,0,0,0,,200 S BOSQUE APT 178,,WHITNEY,TX,76692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"SANDOVAL, ANTHONY JASON",PRE,CHALLENGER,0,0,0,0,,651 FISCHER AVE,,ULYSESS,KS,67880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"REY, JUAN",NNE,CHALLENGER,9980.59,8265.53,750,0,11/25/2024,4120 SANTO TOMAS DR APT A,,LOS ANGELES,CA,90008,5692,1470,7162,0,0,0,7162,0,2818.59,0,2818.59,0,0,0,0,5446.94,0,0,0,2818.59,0,2818.59,0,0,0,0,0,7162,5446.94,0,0,07/21/2023
"TRAN, ASHLEY",IND,OPEN,0,0,0,0,,P.O BOX 940650,,RICHARDSON,TX,75094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"CHARLES, ROGER W JR",IND,CHALLENGER,0,0,0,0,,6671 S RIVER RD,,BRIMLEY,MI,49715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"DETERS, ERIC",REP,CHALLENGER,0,0,0,0,,12267 GREEN ROAD,,WALTON,KY,41094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"GOMES, JOSEPH",DEM,CHALLENGER,0,0,0,0,,,,BELTSVILLE,MD,20704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"HYMAN, MAL",DEM,CHALLENGER,88059.89,84563.98,3495.91,24500,11/25/2024,309 DEERWOOD DR.,,HARTSVILLE,SC,29550,21028.18,14326.71,35354.89,0,0,28205,63559.89,0,24500,0,24500,0,0,0,0,84563.98,0,0,0,0,0,0,0,0,0,0,0,63559.89,84563.98,0,0,01/01/2024
"KEIVAULQE AUTIAMEINEIRE, FEPBRINA ESTRELVIA",OTH,CHALLENGER,0,0,0,0,,777 1ST ST PMB 510,,GILROY,CA,95020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
