Cand_Name,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Coverage_End_Date,Cand_Street_1,Cand_Street_2,Cand_City,Cand_State,Cand_Zip,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date
"FINZER, RYLAN ZACHARY",DEM,OPEN,8385.01,8028.88,381.13,0.0,04/03/2024,25400 ROCKSIDE RD.,APT 124A,BEDFORD HEIGHTS,OH,44146,6862.01,973.0,7835.01,0.0,50.0,500.0,8385.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7330.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,8385.01,7330.88,25.0,0.0,01/01/2024
"BARVE, GARY",REP,CHALLENGER,9516.64,9531.64,0.0,0.0,07/13/2023,21 WESTIE WAY,APT 203,FREDERICKSBURG,VA,22406,7851.65,260.64,8112.29,0.0,0.0,0.0,8112.29,1404.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5901.11,0,0.0,0.0,0.0,0.0,0.0,2950.18,0.0,0.0,2950.18,680.35,5162.11,5901.11,15.0,0.0,08/29/2022
"HIMES, JIM",DEM,INCUMBENT,1946176.41,1413964.62,2191510.59,0.0,10/16/2024,857 POST ROAD,#312,FAIRFIELD,CT,6824,780689.96,88771.78,869461.74,950000.0,0.0,0.0,1819461.74,0.0,0.0,0.0,0.0,339.78,0.0,0.0,126374.89,714291.03,0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,4000.0,4425.0,695248.59,1815036.74,713951.25,1659298.8,0.0,01/01/2023
"MCBATH, LUCIA KAY MS.",DEM,INCUMBENT,2326662.76,1711731.15,1349235.07,0.0,10/16/2024,2221 PEACHTREE RD NE,STE D-405,ATLANTA,GA,30309,1361422.17,343547.04,1704969.21,601954.93,31.3,0.0,2306955.44,15670.69,0.0,0.0,0.0,2120.53,0.0,0.0,1916.1,1630154.65,0,0.0,0.0,0.0,0.0,0.0,18027.5,0.0,0.0,18027.5,63549.0,2288927.94,1628034.12,734303.46,0.0,01/01/2023
"COLLINS, KINA",DEM,CHALLENGER,860648.28,860672.8,-24.52,0.0,06/30/2024,433 W HARRISON ST,PO BOX 805926,CHICAGO,IL,60699,463477.21,395421.07,858898.28,1750.0,0.0,0.0,860648.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860672.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860648.28,860672.8,0.0,0.0,07/01/2023
"JOHNSON, BERNARD",LIB,CHALLENGER,5401.12,5436.0,-34.88,0.0,10/16/2024,2701 NONESUCH ROAD,UNIT 2107,ABILENE,TX,79606,873.12,0.0,873.12,0.0,0.0,4528.0,5401.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5436.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5401.12,5436.0,0.0,0.0,07/01/2024
"BAUGH, SCOTT",REP,OPEN,4134242.83,3138443.23,1006485.81,80000.0,10/16/2024,4040 MACARTHUR BOULEVARD,SUITE 200,NEWPORT BEACH,CA,92660,2711339.09,80339.97,2791679.06,851886.0,5000.0,6600.0,3655165.06,419621.35,30000.0,0.0,30000.0,2694.53,0.0,0.0,26761.89,3077167.99,0,0.0,0.0,0.0,0.0,0.0,44075.24,0.0,0.0,44075.24,17200.0,3611089.82,3074473.46,10686.21,0.0,01/01/2023
"MCQUEEN, ELDON DANIEL",IDP,CHALLENGER,0.0,0.0,0.0,0.0,07/14/2023,110 E HOUSTON ST,7TH FLOOR,SAN ANTONIO,MO,78205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/01/2023
"LEE, SUSIE",DEM,INCUMBENT,5667749.51,4824098.54,881017.73,0.0,10/16/2024,5130 S FORT APACHE RD,STE 215-382,LAS VEGAS,NV,89148,3579551.33,424726.22,4004277.55,1346257.06,7027.37,0.0,5357561.98,259769.41,0.0,0.0,0.0,50418.12,0.0,0.0,0.0,4778320.65,0,0.0,0.0,0.0,0.0,0.0,38777.89,0.0,6000.0,44777.89,1000.0,5312784.09,4727902.53,37366.76,0.0,01/01/2023
"ZUMBLUSKAS, MICHAEL K",REP,CHALLENGER,0.0,0.0,0.0,0.0,10/16/2024,441 EAST 83RD STREET,UNIT A,NEW YORK,NY,10028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/01/2023
